Item,Quantity,Cost,Price,Vendor,PMP EXTENDED PRICING,CLIENT EXTENDED PRICING,PROFIT MARGIN,UPDATED?,Old Cost
Records,,,,,,,,,
No additional records,,,,,,,,,
Black - 250,250,N/A,$4.50,,,"$1,125.00",,,
Black - 500,500,N/A,$2.75,,,"$1,375.00",,,
Black - 1000,1000,N/A,$2.50,,,"$2,500.00",,,
Black - 5000,5000,N/A,$2.25,,,"$11,250.00",,,
Color - 250,250,N/A,$7.00,,,"$1,750.00",,,
Color - 500,500,N/A,$4.25,,,"$2,125.00",,,
Color - 1000,1000,N/A,$3.50,,,"$3,500.00",,,
Color - 5000,5000,N/A,$3.00,,,"$15,000.00",,,
Mixed - 250,250,N/A,$7.75,,,"$1,937.50",,,
Mixed - 500,500,N/A,$5.10,,,"$2,550.00",,,
Mixed - 1000,1000,N/A,$4.00,,,"$4,000.00",,,
Handmade - 250,250,N/A,$10.00,,,"$2,500.00",,,
Handmade - 500,500,N/A,$9.00,,,"$4,500.00",,,
Handmade - 1000,1000,N/A,$8.00,,,"$8,000.00",,,
"7"" Black - 500",500,N/A,$2.50,,,"$1,250.00",,,
"7"" Black - 1000",1000,N/A,$2.00,,,"$2,000.00",,,
"7"" Color - 500",500,N/A,$3.50,,,"$1,750.00",,,
"7"" Color - 1000",1000,N/A,$3.00,,,"$3,000.00",,,
"7"" Mixed - 500",500,N/A,$4.50,,,"$2,250.00",,,
"7"" Mixed - 1000",1000,N/A,$4.00,,,"$4,000.00",,,
PMP XTP - 100,1,N/A,"$1,500.00",,,"$1,500.00",,,
Set Up Fee,,,,,,,,,
No color set up fee,,,,,,,,,
Color set up fee,1,N/A,$300.00,,,,,,
Jackets,,,,,,,,,
No jacket,,,,,,,,,
Standard Digital Jacket - 100,100,$2.60,$3.64,,$260.00,$364.00,$104.00,,$2.60
Standard Jacket - 250,250,$2.00,$2.80,Superior,$500.00,$700.00,$200.00,5/26,$2.04
Standard Jacket - 300,300,$1.72,$2.41,Superior,$516.00,$722.40,$206.40,5/26,$2.04
Standard Jacket - 500,500,$1.10,$1.54,Superior,$550.00,$770.00,$220.00,5/26,$1.02
Standard Jacket - 1000,"1,000",$0.75,$1.05,Superior,$750.00,"$1,050.00",$300.00,5/26,$0.65
Standard Jacket - 1500,"1,500",$0.64,$0.90,Superior,$960.00,"$1,344.00",$384.00,5/26,$0.65
Standard Jacket - 2000,"2,000",$0.50,$0.70,Taylor,"$1,000.00","$1,400.00",$400.00,5/26,$0.51
Standard Jacket - 5000,"5,000",$0.42,$0.59,Taylor,"$2,100.00","$2,940.00",$840.00,5/26,$0.44
Standard Jacket - 7500,"7,500",$0.39,$0.55,Taylor,"$2,925.00","$4,095.00","$1,170.00",5/26,$0.43
Standard Jacket - 10000,"10,000",$0.39,$0.55,Taylor,"$3,900.00","$5,460.00","$1,560.00",5/26,$0.43
